user_id	track_id	track_name	artist_id	artist_name	playcount	normalised_pc	like
user_000003	217f9031-7fec-4682-8d11-54107c5dca38	Paper Planes	7cf0ea9d-86b9-4dad-ba9e-2355a64899ea	M.I.A.	47	0.006056701030927835	1
user_000003	0a6e234d-0c9d-41e0-bce7-5c0ca09befbd	Revolution 909	056e4f3e-d505-4dad-8ec1-d04f521cbb56	Daft Punk	42	0.0054123711340206175	1
user_000003	162d8cc7-6e1c-41ba-b993-d5fb5bb974ae	Da Funk	056e4f3e-d505-4dad-8ec1-d04f521cbb56	Daft Punk	42	0.0054123711340206175	1
user_000003	a08473a1-e622-49cc-bb97-65f813429025	Alive	056e4f3e-d505-4dad-8ec1-d04f521cbb56	Daft Punk	40	0.005154639175257732	1
user_000003	87745e52-4e52-4007-86d8-f965b27f17f6	Fancy Footwork	647221d0-f6b1-4e03-924c-c59b8059536f	Chromeo	39	0.005025773195876289	1
user_000003	738920d3-c6e6-41c7-b504-57761bb625fd	Sexy Boy	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	36	0.00463917525773196	1
user_000003	c64d2148-bffa-40a0-854b-5d03875d71bf	I Like The Way	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	36	0.00463917525773196	1
user_000003	63bc0e50-ccb7-48ee-bf0b-8bc29f745c88	Soul Kitchen	9efff43b-3b29-4082-824e-bc82f646f93d	The Doors	36	0.00463917525773196	1
user_000003	ee30ba36-77d3-4c93-9c51-3d9a779277fd	Lynguistics	69c4cc43-8163-41c5-ac81-30946d27bb69	Cunninlynguists	35	0.004510309278350515	1
user_000003	1285a717-b387-4353-91d4-3ea357dfc9c5	Indo Silver Club	056e4f3e-d505-4dad-8ec1-d04f521cbb56	Daft Punk	35	0.004510309278350515	1
user_000003	cfbdfcde-8c57-4cdb-9278-2913272088c8	Something About Us	056e4f3e-d505-4dad-8ec1-d04f521cbb56	Daft Punk	35	0.004510309278350515	1
user_000003	95d15dc9-9bd8-4273-8140-6cc4f94ba2c7	Pogo	7b52603c-a84c-4a76-8dc8-899bb4dd9fa7	Digitalism	35	0.004510309278350515	1
user_000003	6faa2775-ab18-40a4-8aec-299f0a683dfc	Up All Night	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	35	0.004510309278350515	1
user_000003	fbc89f96-f453-41c0-aa23-aff8effef7a0	How You Feel	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	34	0.004381443298969072	1
user_000003	7a933538-2fb2-4d43-9fac-030840935409	Light My Fire	9efff43b-3b29-4082-824e-bc82f646f93d	The Doors	34	0.004381443298969072	1
user_000003	5e3750d1-2d0e-4f92-b96b-326464716211	You Are The One	ad61e25e-5516-41e1-b60d-744e8220986e	Shiny Toy Guns	33	0.0042525773195876285	1
user_000003	bdc846e7-6c26-4193-82a6-8d1b5a4d3429	Smoke Two Joints	95f5b748-d370-47fe-85bd-0af2dc450bc0	Sublime	33	0.0042525773195876285	1
user_000003	9dacd709-6ef1-498c-a374-bd0f16fc08eb	Blame It On Me	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	32	0.004123711340206186	1
user_000003	f820fa08-cc3f-44db-9879-4bb8fe99c8c9	Celebration Song	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	32	0.004123711340206186	1
user_000003	eaaa4fc1-b999-4ed0-96e9-0db87ee79ea0	Get Up	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	32	0.004123711340206186	1
user_000003	09ba251d-0de9-4a75-92d0-6bcd5dea306d	She Says	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	31	0.003994845360824742	1
user_000003	ed3189b7-a35b-4a4c-b987-3686171416f3	Waiting To Die	5879a47f-c54f-4ebe-8d63-cdc9c6310dd2	Mickey Avalon	31	0.003994845360824742	1
user_000003	7813d6e5-fe21-4cd0-8f8b-82b7c15662ae	Around The World	056e4f3e-d505-4dad-8ec1-d04f521cbb56	Daft Punk	31	0.003994845360824742	1
user_000003	d317bf3b-ddf2-4403-ac36-6410633d64fe	Helsinki Scorchin	d644ba8a-ed79-4ec0-8afa-238a8f254140	Super8 & Tab	31	0.003994845360824742	1
user_000003	885d69ff-a341-4382-ade5-8148d5dda55a	Prayer In Passing	40ee8fa3-c6d7-4556-b4e2-9f4114565043	Anoushka Shankar	31	0.003994845360824742	1
user_000003	338c522b-b65b-482f-acec-a073dfe16f21	Santeria	95f5b748-d370-47fe-85bd-0af2dc450bc0	Sublime	31	0.003994845360824742	1
user_000003	490d073e-c09e-46c7-86a8-fdf677c2a1ff	Kill Caustic	1c3919b2-43ca-4a4a-935d-9d50135ec0ef	Afi	31	0.003994845360824742	1
user_000003	ff5b93a6-fad3-4413-a33b-e1a0f7280b06	Actress, Model...	846cdb90-81a6-4c05-a7dc-9dd075f0db9e	Unwritten Law	31	0.003994845360824742	1
user_000003	a63cd160-c833-413d-88ad-ed6de0c131ef	Naked	40ee8fa3-c6d7-4556-b4e2-9f4114565043	Anoushka Shankar	31	0.003994845360824742	1
