track_id	title	artist_id	artist_name	country	album	year	genres
96779df5-15dc-4fa2-9496-7c9878786a5c	All I Need	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	1998-11-02: Shepherds Bush Empire, London, UK		[electronic, french, downtempo]
1722af9b-cc0c-4dde-b6c8-edb10a35e4bd	In My Arms	a066b730-3809-4b39-a091-2297d40b51db	Mylo	GB	Destroy Rock & Roll	2000s	[dance dj, electronica, scottish]
9110db5e-a1c8-44f9-b57f-deb9705bc3af	The World Is Mine (album version)	302bd7b9-d012-4360-897a-93b00c855680	David Guetta	FR	Club Sounds: The Ultimate Club Dance Collection, Vol. 33	2000s	[dance-pop, electro house, house]
579dac4e-abc2-4ffb-b85a-4c22f4f7ac47	You Make It Easy	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Moon Safari	1990s	[ambient, downtempo, techno ambient]
f6a2b3e0-5df0-45d0-a34d-603336c55b54	Tracking Treasure Down	7fedce48-0f20-442d-80fe-324c61339fc3	Gabriel & Dresden	US	Heaven: Deep Trance Essentials 4	2000s	[dance and electronica, electronic, electronica]
75a79609-a78c-496b-a420-f51342407817	Toop Toop	256160e8-37fd-4f8c-a3ef-530ebbaa4b3d	Cassius	FR	Toop Toop	2000s	[pop, dance and electronica, french]
09cb1175-4f16-4e0e-b389-4b1b37d9118f	Run	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Talkie Walkie	2000s	[downtempo, electronic, french]
8a1adef3-8270-444f-9e59-17ef82a1647d	Dance I Said (Soulcast remix)	9e983d4f-9436-44f4-a936-ef76396cb73a	Erick Morillo	US	Dance I Said	2000s	[american, dance and electronica]
e9ba89bd-ab94-465a-8c6f-9d37b4b5d2cd	Heartbeats	cd8c5019-5d75-4d5c-bc28-e1e26a7dd5c8	José González	SE	Veneer	2000s	[folk, acoustic, folk rock]
f3fb6ec6-46b2-412d-9ab3-956c1a5cf89f	Kelly, Watch the Stars!	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Alternative: 120 Original Hits		[alternative and punk, downtempo, ambient]
8069f55f-6a4c-405b-89b9-83c21b71189e	The Sound of Violence	256160e8-37fd-4f8c-a3ef-530ebbaa4b3d	Cassius	FR	Les Inrockuptibles présentent : Une rentrée 2002 : Électro		[house, disco, dance and electronica]
9dc94a9d-67f8-4fa7-921b-1dccb2d18b80	No More Conversations	c0bbc0ad-9fee-42fe-9419-89a72881afde	Freeform Five	GB	Strangest Things	2000s	[]
1f21c40d-6e29-4c67-a5c9-fa50aa59b3e7	Remember	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Moon Safari	1990s	[ambient, downtempo, blues]
864c7424-c9ab-481e-a9c0-ad986e646c67	La Femme d’argent	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Moon Safari	1990s	[downtempo, ambient, alternative]
8967ca1e-3e0c-4e41-81f6-08757fae829d	Talisman	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Les Inrockuptibles et la Fnac présentent : Une rentrée 97	1990s	[downtempo, ambient, alternative rock]
9818875b-a98e-4e82-bd4a-83c0594f333b	Playground Love	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	The Virgin Suicides	2000s	[ambient, ambient pop, electronic]
63d8081c-740a-4d20-a1f1-1f907d58ecdf	Mike Mills	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Talkie Walkie	2000s	[downtempo, electronica, fran ais]
41eae3be-85be-4176-b6d4-f8d13215254e	A Star Is Born	60752459-01cb-48ed-9ac4-09d8e2b6aa37	Chocolate Puma		Base Ibiza 2003	2000s	[hip hop rnb and dance hall]
90428bbb-be79-4f71-a2f3-e43b7f529084	Alpha Beta Gaga	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Talkie Walkie	2000s	[downtempo, electronica, fran ais]
bb7dcc7a-0b4e-413f-89a3-c3e4ba2d7ff3	We Are All Made of Stars	8970d868-0723-483b-a75b-51088913d3d4	Moby	US	18		[electronic, downtempo, ambient]
6895a632-315e-420b-a95f-961554c4e7cf	Just a Little More Love (Elektro edit)	302bd7b9-d012-4360-897a-93b00c855680	David Guetta	FR	Dancefloor FG 01	2000s	[house, dance, electronic]
738920d3-c6e6-41c7-b504-57761bb625fd	Sexy Boy	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Moon Safari	1990s	[ambient, electronica dance, downtempo]
a54de956-3d99-4a91-be34-96a75a8b64b3	Get Together	79239441-bfd5-4981-a70c-55c3f15c1287	Madonna	US	Confessions on a Dance Floor	2000s	[pop, adult contemporary, contemporary pop/rock]
4fb05a9e-4317-4312-9fbf-42026de706b5	Always and Forever	60752459-01cb-48ed-9ac4-09d8e2b6aa37	Chocolate Puma		Now Dance 2006, Volume 1	2000s	[hip hop rnb and dance hall]
71d028b7-7efa-433a-9c7f-c3a168919ea8	Paris Four Hundred	a066b730-3809-4b39-a091-2297d40b51db	Mylo	GB	Destroy Rock & Roll	2000s	[dance dj, electronica, scottish]
c7858e32-c23a-44de-aa82-4fa8672cb8f2	Always and Forever (Till West and DJ Delicious remix)	60752459-01cb-48ed-9ac4-09d8e2b6aa37	Chocolate Puma		Godskitchen: Global Gathering 2006	2000s	[hip hop rnb and dance hall]
b3674581-30c9-4954-8002-e13c6f7416b1	Thrill Me	e96ab876-83bc-4f5d-98da-91dc8589acbc	Junior Jack	BE	Pioneer: The Album, Volume 3	2000s	[progressive house, belgian, dance and electronica]
702f5e21-c59b-4ea1-9a8b-c2140e8d7a95	Muscle Cars	a066b730-3809-4b39-a091-2297d40b51db	Mylo	GB	Destroy Rock & Roll	2000s	[dance dj, electronica, scottish]
f703d7dd-ba12-48dc-a54b-cb0d71a3910e	Venus	cb67438a-7f50-4f2b-a6f1-2bb2729fd538	Air	FR	Talkie Walkie	2000s	[downtempo, electronic, fran ais]
ad7eba21-e6e7-40ce-9a35-cd066cfe92db	Walking Away (Tocadisco remix)	6fe91ae9-8ddb-47b0-a2d7-252833ce5500	The Egg	GB	Dance Nation	2000s	[british, dance and electronica, electronic]
3e6d15da-59ca-4ac2-a8c8-54a6cdf388d4	Lift Me Up	8970d868-0723-483b-a75b-51088913d3d4	Moby	US	Hotel	2000s	[downtempo, electronic, electronica dance]
