user_id	track_id	track_name	artist_id	artist_name	playcount	last_played
user_000002	03902941-c292-4044-87b9-b23d87d8cdbb	Modern Way	90218af4-4d58-4821-8d41-2ee295ebbe21	Kaiser Chiefs	30	2008-02-11T11:08:24Z
user_000002	046e4951-5daa-4bd0-8b6a-5b47b27583c9	Jacqueline	aa7a2827-f74b-473c-bd79-03d065835cf7	Franz Ferdinand	8	2008-02-07T11:30:15Z
user_000002	0474d9f4-991a-4b88-8f74-5fd1c83e1ee5	Stockholm Syndrome	9c9f1380-2516-4fc9-a3e6-f9f61941d090	Muse	3	2009-04-08T14:20:09Z
user_000002	067265e0-200c-428a-9cbe-2210951b7724	Fake Tales Of San Francisco	ada7a83c-e3e1-40f1-93f9-3e73dbc9298a	Arctic Monkeys	47	2007-09-16T14:35:24Z
user_000002	07689d4c-540d-4518-9a41-52931b7f061f	Neighborhood #3 (Power Out)	52074ba6-e495-4ef3-9bb4-0703888a9f68	Arcade Fire	15	2007-03-20T03:58:28Z
user_000002	084a24a9-b289-4584-9fb5-1ca0f7500eb3	Californication	8bfac288-ccc5-448d-9573-c33ea2aa5c30	Red Hot Chili Peppers	17	2007-09-20T10:45:10Z
user_000002	0a9540f3-d506-497e-8f5a-24d24f8664f8	The Dark Of The Matinée	aa7a2827-f74b-473c-bd79-03d065835cf7	Franz Ferdinand	7	2008-01-26T15:43:16Z
user_000002	0b953455-ef5f-4b36-872b-0022aec503d4	Hurt	d43d12a1-2dc9-4257-a2fd-0a3bb1081b86	Johnny Cash	6	2006-12-03T19:36:15Z
user_000002	0ba72f0d-70ae-4655-94d9-c1069b5abcfb	Boulevard Of Broken Dreams	084308bd-1654-436f-ba03-df6697104e19	Green Day	1	2006-05-04T17:25:47Z
user_000002	0c1eb2b0-78f0-4b2a-961e-96a925240245	Fidelity	fbb375f9-48bb-4635-824e-4120273b3ba7	Regina Spektor	76	2008-12-04T19:04:36Z
user_000002	0e6871fc-d16f-4cc8-86fc-c8d368f906d4	In The Waiting Line	c23b637b-97c6-41eb-8ef6-6c724efc80a8	Zero 7	42	2009-01-27T22:34:32Z
user_000002	0faa740d-fd97-4d1a-a258-2bc45323e4f2	Sam'S Town	95e1ead9-4d31-4808-a7ac-32c3614c116b	The Killers	4	2007-07-25T12:00:41Z
user_000002	0fcdfdd0-2a73-4a3f-b5bf-2d9cd496578f	Mad World	3d65bead-6eae-4012-8665-d5f593ea4a62	Gary Jules	42	2007-08-12T22:13:38Z
user_000002	1001f481-e93e-4107-b640-cf289a122335	Banquet	8c538f11-c141-4588-8ecb-931083524186	Bloc Party	31	2008-10-05T17:03:01Z
user_000002	1007b1d8-5dc0-434a-b5c6-3b831428fbae	Every You Every Me	847e8284-8582-4b0e-9c26-b042a4f49e57	Placebo	7	2006-04-23T13:51:30Z
user_000002	10129849-607d-4650-8edc-74839252ab23	Everything Will Be Alright	95e1ead9-4d31-4808-a7ac-32c3614c116b	The Killers	14	2008-10-09T08:43:42Z
user_000002	10989625-82fe-428a-94a8-a045c8e4abb9	Walk Away	aa7a2827-f74b-473c-bd79-03d065835cf7	Franz Ferdinand	8	2008-02-25T16:17:36Z
