user_id	track_id	track_name	artist_id	artist_name	playcount	normalised_pc
user_000002	21d1285f-4221-410f-9faf-c06e30f1438e	Cannonball	2119beb8-6ac5-4f21-82a4-b831c90c0024	Damien Rice	139	0.007047609390052223
user_000002	eca73dae-0841-4150-9839-08923eb26fcf	Nacht	315fa94f-3bb5-43db-a28e-406a83e9805c	Kettcar	124	0.006287076002636516
user_000002	a5741d3d-c925-4070-8a83-910d23eb33d4	I Will Follow You Into The Dark	0039c7ae-e1a7-4a7d-9b49-0cbc716821a6	Death Cab For Cutie	124	0.006287076002636516
user_000002	f4ea7daf-9ff4-4d66-8db1-555fa8dacfe2	Walk Away	1582a5b8-538e-45e7-9ae4-4099439a0e79	Ben Harper	115	0.005830755970187091
user_000002	b71e3be1-0e8e-4ad9-b00b-b6868065c70d	48 Stunden	315fa94f-3bb5-43db-a28e-406a83e9805c	Kettcar	113	0.0057293515185316635
user_000002	c1106ff7-440e-4745-80d7-91ccdea93d4f	I Get Along	82b304c0-7da4-45d3-896a-0767c7ae1141	The Libertines	103	0.005222329260254525
user_000002	08535ef6-a26c-4ca2-a9e0-cc40117cdb21	The Good Old Days	82b304c0-7da4-45d3-896a-0767c7ae1141	The Libertines	102	0.005171627034426811
user_000002	610263b6-6fd7-4e9c-b385-87ca51f7d377	Play Crack The Sky	9311e2bc-bb3f-44cf-90d8-b1fe6912b60b	Brand New	98	0.004968818131115956
user_000002	54802efb-fd1c-4613-957b-6f1be649390e	Fuck Forever	8e1e03fe-ebbc-467a-b541-857144db10fb	Babyshambles	96	0.004867413679460528
user_000002	cc656aed-6304-42c9-89b8-9f26113d5b14	Balu	315fa94f-3bb5-43db-a28e-406a83e9805c	Kettcar	94	0.004766009227805101
user_000002	7bceb1ae-fb8e-48dd-a8e2-7ff6207b75db	What Katie Did	82b304c0-7da4-45d3-896a-0767c7ae1141	The Libertines	90	0.004563200324494246
user_000002	43483231-f75d-410e-8482-2b6ad7a8d237	Albion	8e1e03fe-ebbc-467a-b541-857144db10fb	Babyshambles	89	0.004512498098666532
user_000002	a11e3dfc-2a53-412a-92b4-1cb6403a5a7d	I Just Don'T Think I'Ll Ever Get Over You	864d7069-57dc-45f6-b408-875b35106dd3	Colin Hay	88	0.004461795872838818
user_000002	b351955e-83f8-4236-98b7-9912761ef2e4	Killamangiro	8e1e03fe-ebbc-467a-b541-857144db10fb	Babyshambles	87	0.004411093647011104
user_000002	c9b89088-01cd-4d98-a1f4-3e4a00519320	Seaside	f82f3a3e-29c2-42ca-b589-bc5dc210fa9e	The Kooks	87	0.004411093647011104
user_000002	a0ab9c5c-2885-4610-9661-95591404b1fd	The 32Nd Of December	8e1e03fe-ebbc-467a-b541-857144db10fb	Babyshambles	86	0.00436039142118339
