track_id	title	artist_id	artist_name	country	album	year	genres
af40062e-09fd-4d8f-84f3-47d7cfe7f98c	Music	df765d93-621c-437f-99fe-fda9e135f89a	Cornelius	JP	Music	2000s	[japanese, ambient pop, dance and electronica]
672985dd-e599-4701-90c0-fe566db28349	Gum	df765d93-621c-437f-99fe-fda9e135f89a	Cornelius	JP	Music	2000s	[japanese, ambient pop, dance and electronica]
ead433ca-a4d6-462b-af46-afafe9b0f4ad	Child Song	7c158ea8-c0aa-410e-bdc1-20bba9759577	The Cinematic Orchestra	GB	Ma fleur	2000s	[electronic, jazz downtempo, acid jazz]
213837d4-0582-49f0-9e45-977f92918323	Hibari	a7f7df4a-77d8-4f12-8acd-5c60c93f4de8	坂本龍一	JP	Playing the Piano	2000s	[japanese, classical, soundtrack]
919b8a05-e1eb-4402-a2a8-7cc40fcede7c	To Build a Home	7c158ea8-c0aa-410e-bdc1-20bba9759577	The Cinematic Orchestra	GB	A Snapshot From Domino 2007	2000s	[acid jazz, british, dance and electronica]
e8db4e5c-0637-4b5f-841b-9a9449c85997	Flite	7c158ea8-c0aa-410e-bdc1-20bba9759577	The Cinematic Orchestra	GB	Every Day	2000s	[jazz, acid jazz, british]
afee5ea6-4363-4432-b700-eddbe2289c75	All That You Give	7c158ea8-c0aa-410e-bdc1-20bba9759577	The Cinematic Orchestra	GB	Angel Beach: The Second Wave	2000s	[acid jazz, british, dance and electronica]
76ccedbc-ce16-4c2b-8c05-fe2749c219a9	Reckoner	a74b1b7f-71a5-4011-9441-d0b5e4122711	Radiohead	GB	2001-06-23: Gorge Ampitheatre, George, WA, USA		[art rock, rock, british]
475d4e50-cebb-4cd0-8cd4-c3df97987962	Tibetan Dance (version)	a7f7df4a-77d8-4f12-8acd-5c60c93f4de8	坂本龍一	JP	Soundbytes		[japanese, classical, soundtrack]
fa9357ad-90d7-4b35-9b10-f8ad7a79ee64	Beautiful Burnout	ba2f4f3b-0293-4bc8-bb94-2f73b5207343	Underworld	GB	Oblivion With Bells	2000s	[alternative dance, progressive house, techno]
34b0af49-52b5-4fd8-ad61-1cd3173f8e2f	Clap & Whistle & Walking	df765d93-621c-437f-99fe-fda9e135f89a	Cornelius	JP	Music	2000s	[japanese, ambient pop, dance and electronica]
fafb03a7-f67a-467f-af51-d262f2aab353	Boy, Boy, Boy	ba2f4f3b-0293-4bc8-bb94-2f73b5207343	Underworld	GB	Oblivion With Bells	2000s	[alternative dance, progressive house, techno]
